 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.263502599135563
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.263859364690916
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264062277767380
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264176732045144
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264232021042062
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264269290055154
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264317760990025
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264383073723820
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264432026437817
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264475663641633
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264475663653911
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264502476518373
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264548724704355
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264575441850184
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264590905294426
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264608602087719
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264632635099133
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264656958191154
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264683828792840
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264726055737128
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264783758314479
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264823395943949
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264849877283496
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264849877289407
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264861687136317
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264880989618632
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264894365302780
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264902196035791
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264909957750206
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264916550445605
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264920897025149
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264926814833188
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264932914669544
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264938044644168
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264944274026448
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264949982361941
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264957582433908
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264967767454436
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264967767457620
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264972036788322
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264975497409523
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264976925944666
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264979299883180
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264981837214464
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264984421576401
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264986430066529
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264987763631780
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264988999248089
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264990661846014
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264993086942468
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264996284353856
 ENERGY| Total FORCE_EVAL ( QS ) energy [hartree]          -1376.264998486836248
